,,"Violent Crime Rates (per 100,000 population)",,,,
Prince Edward Island (51),"Manslaughter (17,24)",1.43,0,0,0,0
Prince Edward Island (51),"Infanticide (17,24)",,,0,0,0
Prince Edward Island (51),Total other violations causing death,0,0,0,0,0
Prince Edward Island (51),Criminal negligence causing death,0,0,0,0,0
Prince Edward Island (51),Other related violations causing death,0,0,0,0,0
Prince Edward Island (51),Attempted murder,0.72,0,0,0,0.68
Prince Edward Island (51),"Sexual assault, level 3, aggravated",0,0,0,0,0
Prince Edward Island (51),"Sexual assault, level 2, weapon or bodily harm",0,1.42,0,0,0.68
Prince Edward Island (51),"Sexual assault, level 1",55.18,43.95,42.63,50.79,49.96
Prince Edward Island (51),Total sexual violations against children (26),1.43,12.76,16.77,13.04,15.74
Prince Edward Island (51),Sexual interference (26),0,11.34,9.78,6.86,6.16
Prince Edward Island (51),Invitation to sexual touching (26),0,0,0,1.37,4.11
Prince Edward Island (51),Sexual exploitation (26),0,0,0,0,0.68
Prince Edward Island (51),Making sexually explicit material available to children (48),,,,,0
Prince Edward Island (51),Luring a child via a computer (26),1.43,1.42,6.99,4.8,4.79
Prince Edward Island (51),"Assault, level 3, aggravated",1.43,4.96,4.19,4.8,2.05
Prince Edward Island (51),"Assault, level 2, weapon or bodily harm",75.24,73.73,85.27,88.54,72.55
Prince Edward Island (51),"Assault, level 1",483.7,505.48,465.48,479.77,526.33
Prince Edward Island (51),"Total assaults against a peace officer (25,35)",9.32,28.36,31.45,13.04,12.32
Prince Edward Island (51),Total other assaults,1.43,0.71,0,0,1.37
Prince Edward Island (51),Unlawfully causing bodily harm,0.72,0.71,0,0,0.68
Prince Edward Island (51),Criminal negligence causing bodily harm,0,0,0,0,0
Prince Edward Island (51),Other assaults,0.72,0,0,0,0.68
Prince Edward Island (51),"Total firearms; use of, discharge, pointing",1.43,1.42,2.1,2.06,2.74
Prince Edward Island (51),Discharge firearm with intent,0.72,0.71,0,0,0
Prince Edward Island (51),Using firearm in commission of offence,0,0,0.7,0,0.68
Prince Edward Island (51),Pointing a firearm,0.72,0.71,1.4,2.06,2.05
Prince Edward Island (51),Total robbery (18),17.2,13.47,15.38,11.67,17.11
Prince Edward Island (51),Robbery (18),17.2,13.47,15.38,11.67,17.11
Prince Edward Island (51),Robbery to steal a firearm (18),,,0,0,0
Prince Edward Island (51),Total forcible confinement or kidnapping (34),5.02,2.84,4.19,2.75,8.21
Prince Edward Island (51),Forcible confinement or kidnapping (34),5.02,2.84,4.19,0,0
Prince Edward Island (51),Kidnapping (34),,,0,0.69,0.68
Prince Edward Island (51),Forcible confinement (34),,,0,2.06,7.53
Prince Edward Island (51),Total abduction,0,0,0,0,0
Prince Edward Island (51),"Abduction under the age 14, not parent or guardian",0,0,0,0,0
Prince Edward Island (51),Abduction under the age 16,0,0,0,0,0
Prince Edward Island (51),Removal of children from Canada,0,0,0,0,0
Prince Edward Island (51),Abduction under the age 14 contravening a custody order,0,0,0,0,0
Prince Edward Island (51),"Abduction under age 14, by parent or guardian",0,0,0,0,0
Prince Edward Island (51),Extortion,2.87,0,1.4,0.69,0.68
