,,"Violent Crime Rates (per 100,000 population)",,,,
"Peterborough, Ontario (8)",Invitation to sexual touching (26),0.83,2.49,0.83,0.82,0.82
"Peterborough, Ontario (8)",Sexual exploitation (26),0,0,0,0.82,0
"Peterborough, Ontario (8)",Making sexually explicit material available to children (48),,,,,0
"Peterborough, Ontario (8)",Luring a child via a computer (26),0,0,0.83,2.47,1.65
"Peterborough, Ontario (8)","Assault, level 3, aggravated",7.49,5.82,4.13,9.9,6.6
"Peterborough, Ontario (8)","Assault, level 2, weapon or bodily harm",79.07,70.67,79.27,74.25,109.66
"Peterborough, Ontario (8)","Assault, level 1",436.14,460.6,397.19,407.53,343
"Peterborough, Ontario (8)","Total assaults against a peace officer (25,35)",14.15,10.81,12.39,22.27,22.26
"Peterborough, Ontario (8)",Total other assaults,5.83,4.16,3.3,0,6.6
"Peterborough, Ontario (8)",Unlawfully causing bodily harm,0,1.66,0.83,0,0
"Peterborough, Ontario (8)",Criminal negligence causing bodily harm,0.83,0,0,0,0.82
"Peterborough, Ontario (8)",Other assaults,4.99,2.49,2.48,0,5.77
"Peterborough, Ontario (8)","Total firearms; use of, discharge, pointing",0,1.66,2.48,0.82,5.77
"Peterborough, Ontario (8)",Discharge firearm with intent,0,0,0,0,0
"Peterborough, Ontario (8)",Using firearm in commission of offence,0,0,1.65,0.82,2.47
"Peterborough, Ontario (8)",Pointing a firearm,0,1.66,0.83,0,3.3
"Peterborough, Ontario (8)",Total robbery (18),54.93,59.03,65.23,51.97,55.24
"Peterborough, Ontario (8)",Robbery (18),54.93,59.03,65.23,51.97,55.24
"Peterborough, Ontario (8)",Robbery to steal a firearm (18),,,0,0,0
"Peterborough, Ontario (8)",Total forcible confinement or kidnapping (34),11.65,9.98,10.73,4.95,8.25
"Peterborough, Ontario (8)",Forcible confinement or kidnapping (34),11.65,9.98,8.26,0,0
"Peterborough, Ontario (8)",Kidnapping (34),,,0.83,0,1.65
"Peterborough, Ontario (8)",Forcible confinement (34),,,1.65,4.95,6.6
"Peterborough, Ontario (8)",Total abduction,1.66,2.49,0.83,0,2.47
"Peterborough, Ontario (8)","Abduction under the age 14, not parent or guardian",1.66,0.83,0,0,1.65
"Peterborough, Ontario (8)",Abduction under the age 16,0,0.83,0.83,0,0.82
"Peterborough, Ontario (8)",Removal of children from Canada,,,0,0,0
"Peterborough, Ontario (8)",Abduction under the age 14 contravening a custody order,0,0.83,0,0,0
"Peterborough, Ontario (8)","Abduction under age 14, by parent or guardian",,,0,0,0
"Peterborough, Ontario (8)",Extortion,0,0,0,0.82,0.82
"Peterborough, Ontario (8)",Criminal harassment (36),64.09,60.69,61.93,57.75,62.66
"Peterborough, Ontario (8)",Uttering threats,143.99,132.19,110.65,119.62,93.17
"Peterborough, Ontario (8)",Threatening or harassing phone calls,21.64,1.66,5.78,4.95,4.95
"Peterborough, Ontario (8)",Total other violent violations,4.99,8.31,14.86,7.42,10.72
"Peterborough, Ontario (8)",Conspire to commit murder,0,0.83,0,0,0
"Peterborough, Ontario (8)",Other sexual violations,0,0,0,0,0
"Peterborough, Ontario (8)",Sexual Exploitation of a person with a disability,0,0,0,0,0.82
"Peterborough, Ontario (8)",Incest,0,0,0,0.82,0
"Peterborough, Ontario (8)",Corrupting morals of a child,,,0,0.82,0.82
"Peterborough, Ontario (8)",Anal intercourse,0,0,0,0,0
"Peterborough, Ontario (8)","Bestiality, commit or compel person",,,0,0,0
"Peterborough, Ontario (8)",Voyeurism,1.66,3.33,6.61,0.82,2.47
"Peterborough, Ontario (8)",Trap likely to or causing bodily harm,,,0,0,0
"Peterborough, Ontario (8)",Hostage-taking,0,0,0,0,0
"Peterborough, Ontario (8)",Trafficking in persons,0,0,0,0,0.82
"Peterborough, Ontario (8)",Intimidation of a justice system participant or a journalist,0,0.83,0,1.65,1.65
"Peterborough, Ontario (8)",Intimidation of a non-justice participant,,,0,1.65,0
"Peterborough, Ontario (8)",Explosives causing death or bodily harm,0,0,0,0,0
"Peterborough, Ontario (8)","Arson, disregard for human life",1.66,0.83,1.65,0,1.65
"Peterborough, Ontario (8)",Other violent violations,1.66,2.49,6.61,1.65,2.47
"Toronto, Ontario (33)",Total violent Criminal Code violations (16),986.09,940.71,906.28,873.06,809.12
"Toronto, Ontario (33)","Homicide (17,24)",1.87,1.61,1.41,1.48,1.36
"Toronto, Ontario (33)","Murder, first degree (17,24)",1.07,1.02,0.97,0.71,0.78
"Toronto, Ontario (33)","Murder, second degree (17,24)",0.76,0.48,0.42,0.64,0.54
"Toronto, Ontario (33)","Manslaughter (17,24)",0.04,0.11,0.02,0.14,0.03
"Toronto, Ontario (33)","Infanticide (17,24)",0,0,0,0,0
"Toronto, Ontario (33)",Total other violations causing death,0.27,0.3,0.18,0.16,0.14
"Toronto, Ontario (33)",Criminal negligence causing death,0.27,0.3,0.18,0.16,0.14
"Toronto, Ontario (33)",Other related violations causing death,0,0,0,0,0
"Toronto, Ontario (33)",Attempted murder,3.16,3.45,2.97,2.64,2.72
"Toronto, Ontario (33)","Sexual assault, level 3, aggravated",0.31,0.25,0.19,0.31,0.22
"Toronto, Ontario (33)","Sexual assault, level 2, weapon or bodily harm",0.8,1.16,1.26,1.26,1.05
"Toronto, Ontario (33)","Sexual assault, level 1",44.18,41.38,46.25,45.49,46.11
"Toronto, Ontario (33)",Total sexual violations against children (26),2.24,2.79,3.07,3.85,3.77
"Toronto, Ontario (33)",Sexual interference (26),0.76,1.11,1.65,1.64,1.94
"Toronto, Ontario (33)",Invitation to sexual touching (26),0.6,0.59,0.76,1.21,0.92
"Toronto, Ontario (33)",Sexual exploitation (26),0.4,0.48,0.26,0.21,0.22
"Toronto, Ontario (33)",Making sexually explicit material available to children (48),,,,,0
"Toronto, Ontario (33)",Luring a child via a computer (26),0.47,0.61,0.4,0.79,0.7
"Toronto, Ontario (33)","Assault, level 3, aggravated",10,8.16,7.62,6.81,7.19
"Toronto, Ontario (33)","Assault, level 2, weapon or bodily harm",116.99,110.89,108.18,101.47,94.63
"Toronto, Ontario (33)","Assault, level 1",354.64,325.92,319.89,319.98,292.11
"Toronto, Ontario (33)","Total assaults against a peace officer (25,35)",20.77,21.08,25.03,22.06,17.96
"Toronto, Ontario (33)",Total other assaults,24.95,21.01,21.53,19.44,18.42
"Toronto, Ontario (33)",Unlawfully causing bodily harm,0.13,0.04,0.09,0.09,0.03
"Toronto, Ontario (33)",Criminal negligence causing bodily harm,0.67,0.52,0.84,0.88,0.44
"Toronto, Ontario (33)",Other assaults,24.15,20.46,20.6,18.48,17.94
"Toronto, Ontario (33)","Total firearms; use of, discharge, pointing",4.49,5.51,4.79,4.07,4.4
"Toronto, Ontario (33)",Discharge firearm with intent,1.47,1.95,2.2,1.78,2.09
"Toronto, Ontario (33)",Using firearm in commission of offence,0.36,1.04,0.49,0.43,0.36
"Toronto, Ontario (33)",Pointing a firearm,2.66,2.52,2.11,1.86,1.95
"Toronto, Ontario (33)",Total robbery (18),133.81,133.64,127.92,126.69,117.52
"Toronto, Ontario (33)",Robbery (18),133.81,133.64,127.88,126.61,117.48
"Toronto, Ontario (33)",Robbery to steal a firearm (18),0,0,0.04,0.09,0.03
"Toronto, Ontario (33)",Total forcible confinement or kidnapping (34),14.62,14.14,9.17,6.59,6.15
"Toronto, Ontario (33)",Forcible confinement or kidnapping (34),14.57,13.94,3.25,0.48,0.05
"Toronto, Ontario (33)",Kidnapping (34),0,0,0.32,0.6,0.54
"Toronto, Ontario (33)",Forcible confinement (34),0.05,0.2,5.6,5.5,5.56
"Toronto, Ontario (33)",Total abduction,0.91,0.68,0.76,0.45,0.53
"Toronto, Ontario (33)","Abduction under the age 14, not parent or guardian",0.4,0.27,0.42,0.09,0.25
"Toronto, Ontario (33)",Abduction under the age 16,0.11,0.07,0.05,0.07,0.08
"Toronto, Ontario (33)",Removal of children from Canada,0.02,0,0,0.03,0
"Toronto, Ontario (33)",Abduction under the age 14 contravening a custody order,0.13,0.13,0.11,0.1,0.1
"Toronto, Ontario (33)","Abduction under age 14, by parent or guardian",0.25,0.21,0.18,0.16,0.08
"Toronto, Ontario (33)",Extortion,4.86,7.02,6.02,4.28,4.26
"Toronto, Ontario (33)",Criminal harassment (36),57.57,61.85,59.05,62.07,58.14
"Toronto, Ontario (33)",Uttering threats,137.69,130.01,116.68,105.34,98.3
"Toronto, Ontario (33)",Threatening or harassing phone calls,47.07,44.73,38.89,33.5,28.9
"Toronto, Ontario (33)",Total other violent violations,4.87,5.1,5.43,5.11,5.25
"Toronto, Ontario (33)",Conspire to commit murder,0.11,0.02,0.07,0.03,0.15
"Toronto, Ontario (33)",Other sexual violations,0.09,0.02,0,0,0
"Toronto, Ontario (33)",Sexual Exploitation of a person with a disability,0,0,0.04,0.02,0.07
"Toronto, Ontario (33)",Incest,0.18,0.23,0.28,0.31,0.19
"Toronto, Ontario (33)",Corrupting morals of a child,0,0.04,0.09,0,0
"Toronto, Ontario (33)",Anal intercourse,0.05,0.02,0.05,0.03,0
"Toronto, Ontario (33)","Bestiality, commit or compel person",0,0.02,0.02,0,0
"Toronto, Ontario (33)",Voyeurism,0.76,1.2,1.21,1.24,1.61
"Toronto, Ontario (33)",Trap likely to or causing bodily harm,0.02,0,0.02,0,0.05
"Toronto, Ontario (33)",Hostage-taking,0,0,0,0,0.05
"Toronto, Ontario (33)",Trafficking in persons,0.09,0.27,0.12,0.31,0.41
"Toronto, Ontario (33)",Intimidation of a justice system participant or a journalist,0.31,0.34,0.4,0.41,0.44
"Toronto, Ontario (33)",Intimidation of a non-justice participant,0.02,0.18,0.14,0.21,0.07
"Toronto, Ontario (33)",Explosives causing death or bodily harm,0,0,0,0,0
"Toronto, Ontario (33)","Arson, disregard for human life",0.62,0.91,0.83,0.71,0.7
"Toronto, Ontario (33)",Other violent violations,2.62,1.86,2.16,1.83,1.51
"Hamilton, Ontario (33)",Total violent Criminal Code violations (16),1167.25,1091.72,1125.09,1052.54,856.96
"Hamilton, Ontario (33)","Homicide (17,24)",0.85,1.26,1.66,0.95,0.94
"Hamilton, Ontario (33)","Murder, first degree (17,24)",0.14,0.56,0.69,0.54,0.13
"Hamilton, Ontario (33)","Murder, second degree (17,24)",0.71,0.56,0.14,0.41,0.81
"Hamilton, Ontario (33)","Manslaughter (17,24)",0,0.14,0.83,0,0
"Hamilton, Ontario (33)","Infanticide (17,24)",,,0,0,0
"Hamilton, Ontario (33)",Total other violations causing death,0,0.7,0,0.14,0.27
"Hamilton, Ontario (33)",Criminal negligence causing death,0,0.7,0,0.14,0.13
"Hamilton, Ontario (33)",Other related violations causing death,0,0,0,0,0.13
"Hamilton, Ontario (33)",Attempted murder,0.71,0.42,0.69,1.49,1.07
"Hamilton, Ontario (33)","Sexual assault, level 3, aggravated",0.43,0.42,0.55,1.49,0.13
"Hamilton, Ontario (33)","Sexual assault, level 2, weapon or bodily harm",1.7,1.96,1.11,2.17,0.94
"Hamilton, Ontario (33)","Sexual assault, level 1",45.08,46.26,61.14,57.46,55.36
"Hamilton, Ontario (33)",Total sexual violations against children (26),3.12,4.91,5.95,5.03,4.3
"Hamilton, Ontario (33)",Sexual interference (26),0.14,3.5,2.77,2.17,1.07
"Hamilton, Ontario (33)",Invitation to sexual touching (26),1.84,0.7,1.38,0.95,1.34
"Hamilton, Ontario (33)",Sexual exploitation (26),0,0,0.14,0.27,0.54
"Hamilton, Ontario (33)",Making sexually explicit material available to children (48),,,,,0
"Hamilton, Ontario (33)",Luring a child via a computer (26),1.13,0.7,1.66,1.63,1.34
"Hamilton, Ontario (33)","Assault, level 3, aggravated",11.77,10.51,9.54,7.74,5.51
"Hamilton, Ontario (33)","Assault, level 2, weapon or bodily harm",120.35,109.62,121.58,128.09,110.71
"Hamilton, Ontario (33)","Assault, level 1",470.78,425.87,456.59,453.13,373.39
"Hamilton, Ontario (33)","Total assaults against a peace officer (25,35)",16.44,18.92,23.65,22.14,20.56
"Hamilton, Ontario (33)",Total other assaults,5.95,7.15,2.9,2.99,1.88
"Hamilton, Ontario (33)",Unlawfully causing bodily harm,0.14,0,0.14,0,0.13
"Hamilton, Ontario (33)",Criminal negligence causing bodily harm,0.14,0.28,0.41,0.81,0
"Hamilton, Ontario (33)",Other assaults,5.67,6.87,2.35,2.17,1.75
"Hamilton, Ontario (33)","Total firearms; use of, discharge, pointing",3.26,4.91,3.18,2.99,2.42
"Hamilton, Ontario (33)",Discharge firearm with intent,1.13,2.52,0.83,0.95,0.27
"Hamilton, Ontario (33)",Using firearm in commission of offence,0.99,0.7,0.97,0.81,1.61
"Hamilton, Ontario (33)",Pointing a firearm,1.13,1.68,1.38,1.22,0.54
"Hamilton, Ontario (33)",Total robbery (18),116.95,102.61,92.54,84.08,72.29
"Hamilton, Ontario (33)",Robbery (18),116.95,102.61,92.54,84.08,72.29
"Hamilton, Ontario (33)",Robbery to steal a firearm (18),,,0,0,0
"Hamilton, Ontario (33)",Total forcible confinement or kidnapping (34),8.22,7.15,9.27,9.92,8.46
"Hamilton, Ontario (33)",Forcible confinement or kidnapping (34),8.22,7.15,9.13,9.1,7.39
"Hamilton, Ontario (33)",Kidnapping (34),,,0,0.27,0
"Hamilton, Ontario (33)",Forcible confinement (34),,,0.14,0.54,1.07
"Hamilton, Ontario (33)",Total abduction,0.57,0.7,0.28,0.41,0.54
"Hamilton, Ontario (33)","Abduction under the age 14, not parent or guardian",0.43,0.14,0.14,0.14,0
"Hamilton, Ontario (33)",Abduction under the age 16,0,0.14,0,0,0
"Hamilton, Ontario (33)",Removal of children from Canada,0,0,0,0,0
"Hamilton, Ontario (33)",Abduction under the age 14 contravening a custody order,0.14,0,0.14,0,0
"Hamilton, Ontario (33)","Abduction under age 14, by parent or guardian",0,0.42,0,0.27,0.54
"Hamilton, Ontario (33)",Extortion,3.97,2.94,4.29,2.72,3.76
"Hamilton, Ontario (33)",Criminal harassment (36),57.55,60.14,64.04,46.05,40.44
"Hamilton, Ontario (33)",Uttering threats,182.73,180.27,171.93,161.77,130.2
"Hamilton, Ontario (33)",Threatening or harassing phone calls,99.94,90.7,86.17,53.11,17.74
"Hamilton, Ontario (33)",Total other violent violations,16.87,14.3,8.02,8.69,6.05
"Hamilton, Ontario (33)",Conspire to commit murder,0,0,0,0,0.13
"Hamilton, Ontario (33)",Other sexual violations,5.67,0.56,0,0,0
"Hamilton, Ontario (33)",Sexual Exploitation of a person with a disability,0,0,0.14,0.14,0.13
"Hamilton, Ontario (33)",Incest,0.14,0.28,0.41,0.14,0.54
"Hamilton, Ontario (33)",Corrupting morals of a child,0,0.28,0.14,0.14,0
"Hamilton, Ontario (33)",Anal intercourse,0,0,0,0,0
"Hamilton, Ontario (33)","Bestiality, commit or compel person",,,0,0,0
"Hamilton, Ontario (33)",Voyeurism,1.42,0.56,0.97,1.22,0.54
"Hamilton, Ontario (33)",Trap likely to or causing bodily harm,,,0,0,0
"Hamilton, Ontario (33)",Hostage-taking,0,2.1,0,0,0
"Hamilton, Ontario (33)",Trafficking in persons,0,0.7,0,0.41,0.67
"Hamilton, Ontario (33)",Intimidation of a justice system participant or a journalist,3.26,0.14,0.55,0.27,0.4
"Hamilton, Ontario (33)",Intimidation of a non-justice participant,,,0,0.14,0
"Hamilton, Ontario (33)",Explosives causing death or bodily harm,0,0,0,0,0
"Hamilton, Ontario (33)","Arson, disregard for human life",1.84,1.12,0.83,1.9,1.21
"Hamilton, Ontario (33)",Other violent violations,4.54,8.55,4.98,4.35,2.42
"St.Catharines-Niagara, Ontario",Total violent Criminal Code violations (16),1064.68,938.69,924.61,754.41,814.24
"St.Catharines-Niagara, Ontario","Homicide (17,24)",1.36,1.13,0.9,0.45,0.67
"St.Catharines-Niagara, Ontario","Murder, first degree (17,24)",0.68,0.9,0.45,0,0.22
"St.Catharines-Niagara, Ontario","Murder, second degree (17,24)",0.23,0.23,0.45,0.45,0.45
"St.Catharines-Niagara, Ontario","Manslaughter (17,24)",0.45,0,0,0,0
"St.Catharines-Niagara, Ontario","Infanticide (17,24)",,,0,0,0
"St.Catharines-Niagara, Ontario",Total other violations causing death,0.23,1.13,0.9,0.45,0
"St.Catharines-Niagara, Ontario",Criminal negligence causing death,0.23,1.13,0.9,0.45,0
"St.Catharines-Niagara, Ontario",Other related violations causing death,0,0,0,0,0
"St.Catharines-Niagara, Ontario",Attempted murder,0.9,1.58,0.22,0.9,0.9
"St.Catharines-Niagara, Ontario","Sexual assault, level 3, aggravated",0.23,0,0,0.45,0.22
"St.Catharines-Niagara, Ontario","Sexual assault, level 2, weapon or bodily harm",0.45,0.68,1.12,0.67,0.67
"St.Catharines-Niagara, Ontario","Sexual assault, level 1",48.61,46.27,51.74,48.47,63.8
"St.Catharines-Niagara, Ontario",Total sexual violations against children (26),3.62,5.19,12.82,10.32,12.54
"St.Catharines-Niagara, Ontario",Sexual interference (26),1.36,3.16,7.65,6.06,6.94
"St.Catharines-Niagara, Ontario",Invitation to sexual touching (26),0.68,0.68,2.47,2.92,3.81
"St.Catharines-Niagara, Ontario",Sexual exploitation (26),0,0.23,0.45,0,0.45
"St.Catharines-Niagara, Ontario",Making sexually explicit material available to children (48),,,,,0
"St.Catharines-Niagara, Ontario",Luring a child via a computer (26),1.58,1.13,2.25,1.35,1.34
"St.Catharines-Niagara, Ontario","Assault, level 3, aggravated",10.17,9.03,7.42,8.08,6.94
"St.Catharines-Niagara, Ontario","Assault, level 2, weapon or bodily harm",126.16,110.82,103.93,91.33,95.82
"St.Catharines-Niagara, Ontario","Assault, level 1",319.93,316.43,300.33,291.04,291.93
"St.Catharines-Niagara, Ontario","Total assaults against a peace officer (25,35)",27.13,26.86,21.82,20.2,19.92
"St.Catharines-Niagara, Ontario",Total other assaults,5.43,3.84,4.5,4.94,2.91
"St.Catharines-Niagara, Ontario",Unlawfully causing bodily harm,0,0,0,0,0
"St.Catharines-Niagara, Ontario",Criminal negligence causing bodily harm,1.13,1.35,0.45,1.12,0.45
"St.Catharines-Niagara, Ontario",Other assaults,4.3,2.48,4.05,3.81,2.46
"St.Catharines-Niagara, Ontario","Total firearms; use of, discharge, pointing",1.58,1.35,1.35,0.67,1.57
"St.Catharines-Niagara, Ontario",Discharge firearm with intent,0,0,0.67,0,0.22
"St.Catharines-Niagara, Ontario",Using firearm in commission of offence,0.45,0,0.45,0.45,0.22
"St.Catharines-Niagara, Ontario",Pointing a firearm,1.13,1.35,0.22,0.22,1.12
"St.Catharines-Niagara, Ontario",Total robbery (18),75.74,65.9,55.12,48.92,51.94
"St.Catharines-Niagara, Ontario",Robbery (18),75.74,65.9,55.12,48.92,51.94
"St.Catharines-Niagara, Ontario",Robbery to steal a firearm (18),,,0,0,0
"St.Catharines-Niagara, Ontario",Total forcible confinement or kidnapping (34),7.01,7.9,4.27,5.16,6.27
"St.Catharines-Niagara, Ontario",Forcible confinement or kidnapping (34),7.01,7.9,0.67,0,0
"St.Catharines-Niagara, Ontario",Kidnapping (34),,,1.12,0.22,0.22
"St.Catharines-Niagara, Ontario",Forcible confinement (34),,,2.47,4.94,6.04
"St.Catharines-Niagara, Ontario",Total abduction,1.13,0.9,0.22,0,0.67
"St.Catharines-Niagara, Ontario","Abduction under the age 14, not parent or guardian",0,0.45,0,0,0.45
"St.Catharines-Niagara, Ontario",Abduction under the age 16,0,0.23,0.22,0,0.22
"St.Catharines-Niagara, Ontario",Removal of children from Canada,0.45,0,0,0,0
"St.Catharines-Niagara, Ontario",Abduction under the age 14 contravening a custody order,0.68,0.23,0,0,0
"St.Catharines-Niagara, Ontario","Abduction under age 14, by parent or guardian",0,0,0,0,0
"St.Catharines-Niagara, Ontario",Extortion,3.17,2.26,2.7,1.57,2.46
"St.Catharines-Niagara, Ontario",Criminal harassment (36),57.65,59.36,52.87,36.58,41.64
"St.Catharines-Niagara, Ontario",Uttering threats,118.47,101.57,90.89,80.11,79.48
"St.Catharines-Niagara, Ontario",Threatening or harassing phone calls,248.71,172.66,204.94,100.3,127.16
"St.Catharines-Niagara, Ontario",Total other violent violations,7.01,3.84,6.52,3.81,6.72
"St.Catharines-Niagara, Ontario",Conspire to commit murder,0,0,0,0,0
"St.Catharines-Niagara, Ontario",Other sexual violations,0,0,0,0,0
"St.Catharines-Niagara, Ontario",Sexual Exploitation of a person with a disability,0,0,0.22,0.22,0
"St.Catharines-Niagara, Ontario",Incest,0.45,0,1.8,0,0.22
"St.Catharines-Niagara, Ontario",Corrupting morals of a child,0,0,0,0,0.22
"St.Catharines-Niagara, Ontario",Anal intercourse,0,0,0.45,0,0.22
"St.Catharines-Niagara, Ontario","Bestiality, commit or compel person",0,0,0,0,0
"St.Catharines-Niagara, Ontario",Voyeurism,1.13,0.23,0.45,0.67,1.79
"St.Catharines-Niagara, Ontario",Trap likely to or causing bodily harm,,,0,0,0
"St.Catharines-Niagara, Ontario",Hostage-taking,0,0,0,0,0
"St.Catharines-Niagara, Ontario",Trafficking in persons,0,0.45,0.22,0.22,0
"St.Catharines-Niagara, Ontario",Intimidation of a justice system participant or a journalist,1.58,0.68,0,0.9,0.67
"St.Catharines-Niagara, Ontario",Intimidation of a non-justice participant,0,0.45,0,0.67,0.9
"St.Catharines-Niagara, Ontario",Explosives causing death or bodily harm,0,0,0,0,0
"St.Catharines-Niagara, Ontario","Arson, disregard for human life",1.36,0.45,0,0.45,1.34
"St.Catharines-Niagara, Ontario",Other violent violations,2.49,1.58,3.37,0.67,1.34
"Kitchener-Cambridge-Waterloo, Ontario",Total violent Criminal Code violations (16),893.15,965.21,1011.26,984.95,911.71
"Kitchener-Cambridge-Waterloo, Ontario","Homicide (17,24)",0.78,0.77,0.76,1.32,0.75
"Kitchener-Cambridge-Waterloo, Ontario","Murder, first degree (17,24)",0.59,0.58,0.19,0.38,0.56
"Kitchener-Cambridge-Waterloo, Ontario","Murder, second degree (17,24)",0.2,0.19,0.38,0.94,0
"Kitchener-Cambridge-Waterloo, Ontario","Manslaughter (17,24)",0,0,0.19,0,0.19
"Kitchener-Cambridge-Waterloo, Ontario","Infanticide (17,24)",,,0,0,0
"Kitchener-Cambridge-Waterloo, Ontario",Total other violations causing death,0,0,0.19,0.19,0
"Kitchener-Cambridge-Waterloo, Ontario",Criminal negligence causing death,0,0,0.19,0.19,0
"Kitchener-Cambridge-Waterloo, Ontario",Other related violations causing death,0,0,0,0,0
"Kitchener-Cambridge-Waterloo, Ontario",Attempted murder,0.2,0.58,0,0.38,1.49
"Kitchener-Cambridge-Waterloo, Ontario","Sexual assault, level 3, aggravated",0.39,0.19,0.76,0.38,0.56
"Kitchener-Cambridge-Waterloo, Ontario","Sexual assault, level 2, weapon or bodily harm",0.59,0.97,0.19,1.32,0.37
"Kitchener-Cambridge-Waterloo, Ontario","Sexual assault, level 1",53.56,64.98,59.98,63.19,56.26
"Kitchener-Cambridge-Waterloo, Ontario",Total sexual violations against children (26),0,6.58,10.7,9.81,11.36
"Kitchener-Cambridge-Waterloo, Ontario",Sexual interference (26),0,4.06,7.64,5.85,6.89
"Kitchener-Cambridge-Waterloo, Ontario",Invitation to sexual touching (26),0,0.97,1.15,1.51,1.68
"Kitchener-Cambridge-Waterloo, Ontario",Sexual exploitation (26),0,0.19,1.15,0.19,0.75
"Kitchener-Cambridge-Waterloo, Ontario",Making sexually explicit material available to children (48),,,,,0
"Kitchener-Cambridge-Waterloo, Ontario",Luring a child via a computer (26),0,1.35,0.76,2.26,2.05
"Kitchener-Cambridge-Waterloo, Ontario","Assault, level 3, aggravated",7.23,8.51,7.07,5.47,4.84
"Kitchener-Cambridge-Waterloo, Ontario","Assault, level 2, weapon or bodily harm",122.76,119.51,139.83,131.28,123.33
"Kitchener-Cambridge-Waterloo, Ontario","Assault, level 1",328.8,369.57,371.91,375.15,358.42
"Kitchener-Cambridge-Waterloo, Ontario","Total assaults against a peace officer (25,35)",16.62,16.63,18.53,18.3,16.21
"Kitchener-Cambridge-Waterloo, Ontario",Total other assaults,13.29,20.5,17,15.84,13.41
"Kitchener-Cambridge-Waterloo, Ontario",Unlawfully causing bodily harm,0.2,0.19,0.38,0,0.37
"Kitchener-Cambridge-Waterloo, Ontario",Criminal negligence causing bodily harm,0.78,0.58,1.15,0.57,1.12
"Kitchener-Cambridge-Waterloo, Ontario",Other assaults,12.32,19.73,15.47,15.28,11.92
"Kitchener-Cambridge-Waterloo, Ontario","Total firearms; use of, discharge, pointing",4.69,8.9,9.93,6.04,6.15
"Kitchener-Cambridge-Waterloo, Ontario",Discharge firearm with intent,0.2,0.39,0.57,0.38,0.37
"Kitchener-Cambridge-Waterloo, Ontario",Using firearm in commission of offence,3.32,7.54,8.6,3.96,5.22
"Kitchener-Cambridge-Waterloo, Ontario",Pointing a firearm,1.17,0.97,0.76,1.7,0.56
"Kitchener-Cambridge-Waterloo, Ontario",Total robbery (18),46.72,53.18,63.8,72.99,60.17
"Kitchener-Cambridge-Waterloo, Ontario",Robbery (18),46.72,53.18,63.8,72.99,60.17
"Kitchener-Cambridge-Waterloo, Ontario",Robbery to steal a firearm (18),,,0,0,0
"Kitchener-Cambridge-Waterloo, Ontario",Total forcible confinement or kidnapping (34),19.55,15.86,17.57,10.19,8.2
"Kitchener-Cambridge-Waterloo, Ontario",Forcible confinement or kidnapping (34),19.55,15.86,13.37,0,0
"Kitchener-Cambridge-Waterloo, Ontario",Kidnapping (34),,,0.96,0.38,0
"Kitchener-Cambridge-Waterloo, Ontario",Forcible confinement (34),,,3.25,9.81,8.2
"Kitchener-Cambridge-Waterloo, Ontario",Total abduction,0.59,1.35,1.53,0.19,0.56
"Kitchener-Cambridge-Waterloo, Ontario","Abduction under the age 14, not parent or guardian",0.39,0.97,0.57,0,0.56
"Kitchener-Cambridge-Waterloo, Ontario",Abduction under the age 16,0,0.19,0.19,0,0
"Kitchener-Cambridge-Waterloo, Ontario",Removal of children from Canada,0,0,0,0,0
"Kitchener-Cambridge-Waterloo, Ontario",Abduction under the age 14 contravening a custody order,0.2,0.19,0.19,0.19,0
"Kitchener-Cambridge-Waterloo, Ontario","Abduction under age 14, by parent or guardian",0,0,0.57,0,0
"Kitchener-Cambridge-Waterloo, Ontario",Extortion,3.71,5.22,3.82,3.77,2.42
"Kitchener-Cambridge-Waterloo, Ontario",Criminal harassment (36),100.28,100.95,113.66,91.29,79.73
"Kitchener-Cambridge-Waterloo, Ontario",Uttering threats,125.11,139.24,149.76,147.31,137.67
"Kitchener-Cambridge-Waterloo, Ontario",Threatening or harassing phone calls,32.06,24.17,18.53,19.99,20.49
"Kitchener-Cambridge-Waterloo, Ontario",Total other violent violations,16.22,7.54,5.73,10.56,9.31
"Kitchener-Cambridge-Waterloo, Ontario",Conspire to commit murder,0,0,0,0.19,0
"Kitchener-Cambridge-Waterloo, Ontario",Other sexual violations,13.49,0.58,0,0,0
"Kitchener-Cambridge-Waterloo, Ontario",Sexual Exploitation of a person with a disability,0,0,0,0,0
"Kitchener-Cambridge-Waterloo, Ontario",Incest,0,0.19,0.38,0.75,0.37
"Kitchener-Cambridge-Waterloo, Ontario",Corrupting morals of a child,0,0.39,0,0,0
"Kitchener-Cambridge-Waterloo, Ontario",Anal intercourse,,,0,0,0
"Kitchener-Cambridge-Waterloo, Ontario","Bestiality, commit or compel person",,,0,0.57,0
"Kitchener-Cambridge-Waterloo, Ontario",Voyeurism,0.2,2.71,0.96,6.6,4.84
"Kitchener-Cambridge-Waterloo, Ontario",Trap likely to or causing bodily harm,,,0,0,0
"Kitchener-Cambridge-Waterloo, Ontario",Hostage-taking,0,0,0,0,0
"Kitchener-Cambridge-Waterloo, Ontario",Trafficking in persons,,,0.38,0,0
"Kitchener-Cambridge-Waterloo, Ontario",Intimidation of a justice system participant or a journalist,0.39,0.58,0.38,0,0
"Kitchener-Cambridge-Waterloo, Ontario",Intimidation of a non-justice participant,0,0.19,0.57,1.7,0.93
